tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-0301,Auckland,Hard,32,A,20180108,272,111575,,,Karen Khachanov,R,,RUS,21.63449692,48,1030,105216,,,Yuichi Sugita,R,173,JPN,29.30595483,41,1200,6-1 3-6 6-4,3,R32,100,8,3,82,49,39,17,13,7,8,3,3,77,48,36,13,13,4,7
2018-0301,Auckland,Hard,32,A,20180108,271,133430,,,Denis Shapovalov,L,,CAN,18.73511294,50,981,104297,,Q,Rogerio Dutra Silva,R,178,BRA,33.9301848,100,566,6-3 6-2,3,R32,56,9,2,43,26,24,12,9,0,0,3,0,48,36,22,5,8,0,3
2018-M001,Sydney,Hard,32,A,20180108,300,106421,,Q,Daniil Medvedev,R,,RUS,21.908282,84,642,200282,,SE,Alex De Minaur,R,,AUS,18.89117043,167,323,1-6 6-4 7-5,3,F,133,,,,,,,,,,,,,,,,,,
2018-M001,Sydney,Hard,32,A,20180108,299,106421,,Q,Daniil Medvedev,R,,RUS,21.908282,84,642,104926,4,,Fabio Fognini,R,178,ITA,30.62833676,27,1670,2-6 6-4 6-1,3,SF,112,10,5,80,46,34,17,13,5,8,3,3,87,49,33,18,12,9,13
2018-M001,Sydney,Hard,32,A,20180108,298,200282,,SE,Alex De Minaur,R,,AUS,18.89117043,167,323,105332,,,Benoit Paire,R,196,FRA,28.67077344,42,1155,4-6 6-1 6-1,3,SF,109,3,3,95,62,45,16,12,7,8,6,5,74,34,27,13,12,3,8
2018-M001,Sydney,Hard,32,A,20180108,297,106421,,Q,Daniil Medvedev,R,,RUS,21.908282,84,642,103893,,,Paolo Lorenzi,R,183,ITA,36.06570842,45,1095,6-3 6-3,3,QF,72,5,1,42,20,18,16,9,0,1,0,2,59,40,24,8,9,5,9
2018-M001,Sydney,Hard,32,A,20180108,296,104926,4,,Fabio Fognini,R,178,ITA,30.62833676,27,1670,105173,5,,Adrian Mannarino,L,183,FRA,29.52772074,28,1625,6-7(4) 7-6(4) 6-2,3,QF,166,8,9,119,70,51,23,16,6,9,5,6,115,66,42,25,16,6,11
2018-M001,Sydney,Hard,32,A,20180108,295,200282,,SE,Alex De Minaur,R,,AUS,18.89117043,167,323,103852,,,Feliciano Lopez,L,188,ESP,36.30116359,36,1295,6-4 6-4,3,QF,85,5,3,63,40,30,12,10,1,2,6,0,64,41,29,10,10,2,5
2018-M001,Sydney,Hard,32,A,20180108,294,105332,,,Benoit Paire,R,196,FRA,28.67077344,42,1155,104180,2,,Gilles Muller,L,193,LUX,34.66940452,25,1695,6-4 6-4,3,QF,72,17,3,54,34,30,11,10,0,0,5,3,63,37,30,10,10,3,5
2018-M001,Sydney,Hard,32,A,20180108,293,103893,,,Paolo Lorenzi,R,183,ITA,36.06570842,45,1095,105077,1,,Albert Ramos,L,188,ESP,29.97672827,22,1845,6-3 7-5,3,R16,123,10,3,71,42,38,12,11,2,2,6,3,89,52,32,21,10,12,14
2018-M001,Sydney,Hard,32,A,20180108,292,106421,,Q,Daniil Medvedev,R,,RUS,21.908282,84,642,111577,,,Jared Donaldson,R,,USA,21.24845996,55,878,6-3 4-6 7-5,3,R16,125,6,1,78,49,41,19,15,2,3,3,2,104,67,43,23,16,7,10
2018-M001,Sydney,Hard,32,A,20180108,291,104926,4,,Fabio Fognini,R,178,ITA,30.62833676,27,1670,105238,,,Alexandr Dolgopolov,R,180,UKR,29.16906229,37,1276,3-6 6-3 6-4,3,R16,117,4,3,91,56,41,19,14,1,2,10,4,93,51,38,20,14,2,4
2018-M001,Sydney,Hard,32,A,20180108,290,105173,5,,Adrian Mannarino,L,183,FRA,29.52772074,28,1625,105575,,LL,Ricardas Berankis,R,175,LTU,27.55099247,138,407,6-2 6-1,3,R16,48,3,1,32,23,21,7,7,0,0,0,2,47,22,10,10,8,0,5
2018-M001,Sydney,Hard,32,A,20180108,289,200282,,SE,Alex De Minaur,R,,AUS,18.89117043,167,323,106000,7,,Damir Dzumhur,R,172,BIH,25.63723477,30,1391,6-2 3-0 RET,3,R16,49,4,1,33,21,15,8,5,1,1,1,2,42,25,15,4,6,5,9
2018-M001,Sydney,Hard,32,A,20180108,288,103852,,,Feliciano Lopez,L,188,ESP,36.30116359,36,1295,106043,3,,Diego Sebastian Schwartzman,R,170,ARG,25.3963039,26,1675,6-3 7-6(1),3,R16,79,15,3,60,43,38,9,11,1,2,2,0,60,32,22,17,10,2,4
